ax,ay,az,label
-0.0659,0.0667,-0.0889,4
0.06195,-5.67335,-0.27935,2
-0.0832,-0.0518,0.0593,6
8.2983,-7.2495,-2.29305,3
0.07295,1E-04,-0.05925,5
-0.0522,0.00925,0.0201,4
-2.7064,-0.66465,3.2205,2
-0.1025,-0.0281,-0.0677,4
-5.3952,-1.966,5.0021,1
0.01945,0.00325,-0.0131,6
0.01205,0.00055,-0.12685,4
-0.0444,-0.03205,-0.00895,6
-3.5838,-2.07575,-0.3986,1
-2.88575,1.1086,7.11545,1
-0.30075,0.78815,-3.0176,1
0.0646,-0.0522,0.1203,5
0.54725,2.26015,3.5109,3
0.1016,-0.05605,0.09705,4
-1.8415,-1.1571,-0.64845,2
-3.36595,1.48615,-3.9188,3
0.0506,-0.0728,-0.0041,4
-1.42325,1.7423,-3.0164,1
-1.17165,3.3583,2.25165,3
-0.1324,-0.01535,0.17395,6
4.2119,1.5592,-3.5398,1
0.29655,-0.07515,-0.10285,6
0.365,-3.6271,-3.27845,2
4.9297,1.56665,-2.9445,1
1.056,2.9582,-4.24955,3
0.12295,-0.01405,-0.07255,4
1.8631,-5.0996,-3.7753,1
0.0003,-0.0203,0.05265,6
-0.04425,0.0332,-0.02,4
-0.81815,4.6804,-2.8475,3
0.20845,-0.06515,-0.18565,5
0.07185,-0.03655,0.1066,5
-1.60285,-0.38235,-0.3606,2
0.1472,0.03005,-0.01145,5
0.0222,0.01575,0.11185,5
0.00385,-0.04195,0.04385,4
1.3934,0.4602,8.80915,3
-0.1383,0.0416,-0.0086,5
-2.07625,1.59755,-0.55615,2
-0.03005,1.1351,-1.4398,1
0.92005,1.0197,3.42895,1
2.1453,-3.6066,2.7835,1
0.0603,0.0359,-0.05735,4
0.0688,-0.00095,-0.0421,5
-1.7724,3.7418,-1.75975,3
-0.0572,-0.08095,-0.04155,4
0.8995,1.00395,0.01,2
-0.04395,-0.05585,0.07555,6
7.01595,-7.2015,-1.01425,3
-0.4565,-2.3025,1.6651,1
1.8004,1.4979,-3.33605,1
0.04235,-0.0008,-0.0801,5
-0.19355,2.2603,-1.69195,3
-5.46215,-0.23845,6.318,1
0.55995,-5.66225,-3.92925,3
0.06365,0.00055,-0.02935,4
-0.3174,0.0233,-0.08695,6
1.54175,1.1103,-2.9635,1
1.12375,-0.7849,1.19765,2
-0.28715,-1.57455,-2.205,3
-1.95255,0.53615,-0.4661,2
-0.0141,-0.0291,-0.0844,4
0.0662,-0.00705,0.08435,6
-0.6593,0.3972,1.3297,2
0.15135,-0.0251,-0.0637,5
-1.34675,-1.98705,1.7288,2
0.0646,0.0381,-0.27175,5
0.00435,-0.0048,-0.0613,4
4.47915,1.52265,-2.9083,1
-1.67005,0.1121,-5.7727,1
4.99135,2.25855,8.02465,3
-2.2048,-1.98325,5.53555,1
-1.62635,-0.6309,-0.57305,2
0.0417,0.15815,-0.1631,6
-2.47685,1.21475,4.86185,3
1.25545,4.1354,-1.9616,3
-2.8845,-1.66315,1.7301,1
-1.31645,0.87475,-1.55785,3
0.0057,-0.10095,0.11925,6
0.01965,-0.0165,0.0219,6
-0.10435,0.0586,-0.0478,4
-0.01865,0.0049,0.0517,6
0.10905,0.00255,-0.1006,5
-0.2552,-0.093,0.2203,5
-0.0437,-0.00685,0.07305,4
0.0322,-0.0244,-0.0665,4
-2.9417,1.14715,4.16885,1
-0.5788,1.9389,-2.2113,3
2.14215,-1.49865,-2.32145,2
-0.2595,0.04065,-0.1826,5
0.0763,0.05255,-0.0364,6
0.0252,0.03075,0.0677,6
0.0264,0.00915,-0.0518,6
-1.0156,2.06045,-3.5706,1
0.06075,-0.092,-0.1585,4
1.03305,4.3489,0.16215,3
-0.00615,0.0381,-0.0375,5
-0.49865,-0.73725,-1.56885,2
0.8818,-3.43655,-1.35725,3
-2.17095,-2.29315,-2.4748,3
0.06665,-0.0724,0.0652,6
6.47725,-0.10835,4.001,3
-2.46295,0.48015,1.3397,2
-0.3023,1.54375,-2.47325,1
-0.0012,-0.0552,-0.05545,4
4.7806,-1.7414,3.52055,2
3.88545,-5.3825,-4.85155,1
0.2201,-3.60735,-3.51985,2
-2.0712,1.79105,-0.53905,2
0.0944,-0.0609,-0.07265,4
-1.50065,0.13575,3.80345,1
-0.0642,-0.0168,0.0085,6
4.4157,1.79985,-2.5945,1
-2.13585,-0.23215,-0.0405,2
-0.05905,-0.101,0.08235,6
